Last login: Thu Feb 20 14:08:16 on console
maclab-123:~ huber021$ ps
  PID TTY           TIME CMD
78570 ttys000    0:00.01 -bash
maclab-123:~ huber021$ ps x
  PID   TT  STAT      TIME COMMAND
52936   ??  S      0:00.12 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
52937   ??  S      0:02.51 /usr/sbin/cfprefsd agent
52976   ??  S      0:01.03 /usr/sbin/distnoted agent
52988   ??  S      0:13.40 /usr/libexec/lsd
53001   ??  S      0:00.37 /usr/libexec/languageassetd --firstLogin
53003   ??  S      0:06.11 /usr/libexec/secinitd
53023   ??  S      0:00.36 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/
53104   ??  S      0:00.26 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/
53245   ??  S      0:03.61 /usr/libexec/pkd
53296   ??  S      0:00.15 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationX
53322   ??  S      0:00.10 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPCServices/com.apple.sbd.xpc/Contents/Ma
53392   ??  S      0:00.09 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/C
53440   ??  S      0:00.21 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/C
53508   ??  S      0:00.16 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacO
53693   ??  S      0:00.34 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.ap
78164   ??  S      0:00.38 /usr/libexec/UserEventAgent (Aqua)
78168   ??  S      0:00.09 /usr/sbin/universalaccessd launchd -s
78171   ??  S      0:00.15 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
78176   ??  S      0:01.06 /usr/libexec/trustd --agent
78188   ??  S      0:00.11 /usr/libexec/secd
78189   ??  S      0:00.17 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
78190   ??  S      0:00.28 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
78194   ??  S      0:00.23 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
78196   ??  S      0:00.15 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
78203   ??  S      0:00.12 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
78205   ??  S      0:00.16 /usr/libexec/nsurlsessiond
78206   ??  S      0:00.10 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
78211   ??  S      0:00.05 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
78214   ??  S      0:00.06 /usr/libexec/rapportd
78216   ??  S      0:00.02 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/Cl
78219   ??  S      0:00.18 /usr/sbin/usernoted
78222   ??  S      0:00.58 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
78223   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/M
78224   ??  S      0:00.14 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
78225   ??  S      0:00.58 /usr/libexec/nsurlstoraged
78226   ??  S      0:00.19 /usr/libexec/sharingd
78228   ??  S      0:00.07 /usr/libexec/fmfd
78229   ??  S      0:00.04 /usr/libexec/pboard
78230   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/M
78231   ??  S      0:00.06 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
78232   ??  S      0:00.07 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents
78233   ??  S      0:00.09 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/
78235   ??  S      0:00.08 /System/Library/CoreServices/talagent
78236   ??  S      0:00.69 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
78237   ??  S      0:00.11 /System/Library/CoreServices/sharedfilelistd
78239   ??  Ss     0:00.01 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/M
78242   ??  S      0:00.28 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
78245   ??  S      0:00.12 /System/Library/CoreServices/iconservicesagent
78247   ??  S      0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
78248   ??  S      0:00.03 /usr/libexec/networkserviceproxy
78249   ??  S      0:00.43 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
78250   ??  S      0:00.54 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
78251   ??  S      0:00.01 /System/Library/CoreServices/APFSUserAgent
78252   ??  S      0:00.03 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
78254   ??  S      0:00.06 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
78255   ??  Ss     0:00.15 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Conte
78256   ??  S      0:00.06 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
78258   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/M
78259   ??  S      0:00.31 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
78260   ??  S      0:00.20 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/Mac
78261   ??  S      0:00.06 /System/Library/CoreServices/mapspushd
78262   ??  S      0:00.14 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
78264   ??  S      0:00.03 /System/Library/CoreServices/backgroundtaskmanagementagent
78267   ??  S      0:01.37 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
78268   ??  S      0:00.04 /usr/libexec/swcd
78269   ??  S      0:00.05 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
78270   ??  S      0:00.37 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
78284   ??  S      0:08.78 /Applications/Safari.app/Contents/MacOS/Safari -psn_0_9492749
78286   ??  S      0:01.03 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
78287   ??  S      0:00.31 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
78288   ??  S      0:00.35 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
78292   ??  S      0:01.66 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
78294   ??  Ss     0:00.13 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacO
78295   ??  Ss     0:00.16 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/
78298   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/Wi
78300   ??  Ss     0:00.01 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/L
78301   ??  S      0:00.11 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
78302   ??  Ss     0:00.30 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/Ma
78303   ??  Ss     0:00.69 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/Ma
78310   ??  S      0:00.06 /usr/libexec/videosubscriptionsd
78314   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
78319   ??  S      0:00.02 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
78321   ??  SN     0:00.06 /usr/local/jamf/bin/jamfAgent
78322   ??  S      0:00.04 /usr/libexec/dmd
78324   ??  S      0:00.13 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
78325   ??  S      0:00.15 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
78326   ??  S      0:00.07 /System/Library/Image Capture/Support/icdd
78329   ??  S      0:00.09 /Library/Application Support/Pharos/Notify.app/Contents/MacOS/Notify
78330   ??  S      0:00.05 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
78331   ??  S      0:00.06 /usr/libexec/knowledge-agent
78332   ??  S      0:00.05 /System/Library/CoreServices/cloudpaird
78333   ??  S      0:04.94 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/Creative Cloud --showwindow
78334   ??  S      0:00.11 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagen
78335   ??  S      0:00.05 /System/Library/CoreServices/diagnostics_agent
78336   ??  S      0:00.09 /usr/libexec/adprivacyd
78337   ??  S      0:00.45 /Library/Application Support/Malwarebytes/Malwarebytes Endpoint Agent/UserAgent.app/Contents/MacOS/UserAgent
78339   ??  S      0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
78341   ??  S      0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
78348   ??  S      0:00.03 /System/Library/CoreServices/pbs
78351   ??  S      0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A
78353   ??  S      0:01.21 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
78356   ??  Ss     0:00.13 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.d
78361   ??  S      0:00.02 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
78366   ??  S      0:00.18 /Library/Application Support/Adobe/Adobe Desktop Common/IPCBox/AdobeIPCBroker.app/Contents/MacOS/AdobeIPCBroke
78367   ??  S      0:00.01 SafeEjectGPUAgent
